Exposure_ID,Customer_ID,Campaign_ID,Campaign_Exposure,Campaign_Response
EXP00001,CUST00001,C003,No,Neutral
EXP00002,CUST00002,C003,No,Negative
EXP00003,CUST00003,C004,Yes,Neutral
EXP00004,CUST00004,C005,No,Neutral
EXP00005,CUST00005,C002,No,Neutral
EXP00006,CUST00006,C002,No,Negative
EXP00007,CUST00007,C005,Yes,Neutral
EXP00008,CUST00008,C001,Yes,Negative
EXP00009,CUST00009,C002,Yes,Neutral
EXP00010,CUST00010,C003,Yes,Positive
EXP00011,CUST00011,C004,No,Neutral
EXP00012,CUST00012,C001,Yes,Positive
EXP00013,CUST00013,C001,Yes,Positive
EXP00014,CUST00014,C002,Yes,Neutral
EXP00015,CUST00015,C004,Yes,Neutral
EXP00016,CUST00016,C003,No,Negative
EXP00017,CUST00017,C002,Yes,Positive
EXP00018,CUST00018,C003,Yes,Neutral
EXP00019,CUST00019,C002,No,Positive
EXP00020,CUST00020,C001,Yes,Neutral
EXP00021,CUST00021,C003,Yes,Neutral
EXP00022,CUST00022,C002,Yes,Neutral
EXP00023,CUST00023,C005,No,Negative
EXP00024,CUST00024,C001,No,Negative
EXP00025,CUST00025,C004,Yes,Positive
EXP00026,CUST00026,C001,Yes,Positive
EXP00027,CUST00027,C004,No,Neutral
EXP00028,CUST00028,C002,No,Positive
EXP00029,CUST00029,C002,Yes,Positive
EXP00030,CUST00030,C001,No,Negative
EXP00031,CUST00031,C001,Yes,Positive
EXP00032,CUST00032,C002,No,Positive
EXP00033,CUST00033,C002,Yes,Positive
EXP00034,CUST00034,C002,No,Positive
EXP00035,CUST00035,C003,Yes,Positive
EXP00036,CUST00036,C003,Yes,Positive
EXP00037,CUST00037,C001,Yes,Neutral
EXP00038,CUST00038,C004,No,Negative
EXP00039,CUST00039,C001,Yes,Positive
EXP00040,CUST00040,C004,Yes,Neutral
EXP00041,CUST00041,C003,Yes,Positive
EXP00042,CUST00042,C003,No,Negative
EXP00043,CUST00043,C002,Yes,Positive
EXP00044,CUST00044,C003,Yes,Neutral
EXP00045,CUST00045,C002,Yes,Positive
EXP00046,CUST00046,C001,No,Negative
EXP00047,CUST00047,C001,No,Neutral
EXP00048,CUST00048,C004,Yes,Positive
EXP00049,CUST00049,C005,Yes,Neutral
EXP00050,CUST00050,C002,Yes,Positive
EXP00051,CUST00051,C003,Yes,Positive
EXP00052,CUST00052,C004,No,Negative
EXP00053,CUST00053,C001,No,Neutral
EXP00054,CUST00054,C002,Yes,Positive
EXP00055,CUST00055,C001,No,Negative
EXP00056,CUST00056,C001,No,Positive
EXP00057,CUST00057,C004,Yes,Positive
EXP00058,CUST00058,C002,Yes,Positive
EXP00059,CUST00059,C002,No,Negative
EXP00060,CUST00060,C004,Yes,Positive
EXP00061,CUST00061,C005,Yes,Positive
EXP00062,CUST00062,C003,Yes,Positive
EXP00063,CUST00063,C002,Yes,Positive
EXP00064,CUST00064,C002,Yes,Positive
EXP00065,CUST00065,C004,Yes,Neutral
EXP00066,CUST00066,C004,Yes,Negative
EXP00067,CUST00067,C001,No,Neutral
EXP00068,CUST00068,C003,No,Neutral
EXP00069,CUST00069,C005,No,Positive
EXP00070,CUST00070,C001,No,Negative
EXP00071,CUST00071,C002,Yes,Neutral
EXP00072,CUST00072,C002,No,Negative
EXP00073,CUST00073,C001,Yes,Positive
EXP00074,CUST00074,C001,Yes,Positive
EXP00075,CUST00075,C005,Yes,Positive
EXP00076,CUST00076,C003,No,Negative
EXP00077,CUST00077,C004,Yes,Neutral
EXP00078,CUST00078,C002,Yes,Positive
EXP00079,CUST00079,C002,Yes,Negative
EXP00080,CUST00080,C005,No,Negative
EXP00081,CUST00081,C003,No,Neutral
EXP00082,CUST00082,C001,No,Positive
EXP00083,CUST00083,C001,Yes,Neutral
EXP00084,CUST00084,C005,Yes,Positive
EXP00085,CUST00085,C004,No,Positive
EXP00086,CUST00086,C003,Yes,Neutral
EXP00087,CUST00087,C003,Yes,Positive
EXP00088,CUST00088,C005,Yes,Neutral
EXP00089,CUST00089,C005,Yes,Neutral
EXP00090,CUST00090,C004,Yes,Neutral
EXP00091,CUST00091,C001,Yes,Neutral
EXP00092,CUST00092,C002,No,Neutral
EXP00093,CUST00093,C004,Yes,Positive
EXP00094,CUST00094,C002,Yes,Neutral
EXP00095,CUST00095,C005,Yes,Neutral
EXP00096,CUST00096,C001,Yes,Negative
EXP00097,CUST00097,C005,Yes,Neutral
EXP00098,CUST00098,C003,Yes,Positive
EXP00099,CUST00099,C002,No,Negative
EXP00100,CUST00100,C001,No,Neutral
EXP00101,CUST00101,C004,Yes,Neutral
EXP00102,CUST00102,C002,Yes,Positive
EXP00103,CUST00103,C005,Yes,Positive
EXP00104,CUST00104,C001,Yes,Neutral
EXP00105,CUST00105,C001,Yes,Neutral
EXP00106,CUST00106,C004,No,Positive
EXP00107,CUST00107,C001,Yes,Neutral
EXP00108,CUST00108,C005,Yes,Positive
EXP00109,CUST00109,C005,Yes,Positive
EXP00110,CUST00110,C003,Yes,Neutral
EXP00111,CUST00111,C002,No,Neutral
EXP00112,CUST00112,C001,No,Negative
EXP00113,CUST00113,C002,Yes,Positive
