Customer_ID,Age,Gender,City,Region,Education,Occupation,Income_Bracket,Customer_Segment
CUST00001,19,Female,Surat,West,Diploma,Government Employee,Medium,Regular
CUST00002,55,Male,Ahmedabad,West,High School,Business Owner,Low,Regular
CUST00003,63,Female,Chennai,South,Bachelor,Business Owner,Medium,New
CUST00004,28,Female,Mumbai,West,Diploma,Government Employee,Low,Regular
CUST00005,23,Male,Surat,West,Bachelor,Healthcare Professional,Medium,Premium
CUST00006,52,Male,Patna,East,Master,Private Employee,Medium,Premium
CUST00007,54,Male,Chandigarh,North,High School,Business Owner,Medium,Premium
CUST00008,24,Male,Kochi,South,Bachelor,Healthcare Professional,Low,Regular
CUST00009,62,Female,Delhi,North,Bachelor,Retired,Medium,Regular
CUST00010,28,Male,Kochi,South,Diploma,IT Professional,Low,Regular
CUST00011,32,Female,Pune,West,Master,Teacher,Low,New
CUST00012,31,Female,Lucknow,North,Bachelor,Engineer,Low,New
CUST00013,65,Female,Delhi,North,Master,Teacher,Medium,Premium
CUST00014,50,Female,Bengaluru,South,Master,Private Employee,Low,New
CUST00015,56,Male,Bhubaneswar,East,Bachelor,Engineer,Medium,Premium
CUST00016,61,Female,Mumbai,West,Bachelor,IT Professional,Medium,Regular
CUST00017,25,Male,Lucknow,North,Diploma,Student,High,Premium
CUST00018,50,Female,Delhi,North,Bachelor,Private Employee,High,New
CUST00019,27,Male,Chennai,South,Diploma,IT Professional,High,Regular
CUST00020,19,Male,Guwahati,East,Bachelor,Self-Employed,Low,New
CUST00021,23,Female,Ahmedabad,West,Master,IT Professional,Medium,New
CUST00022,53,Male,Guwahati,East,Bachelor,Retired,Medium,New
CUST00023,63,Male,Chennai,South,Doctorate,Healthcare Professional,Medium,Regular
CUST00024,33,Male,Surat,West,Diploma,Retired,Medium,Regular
CUST00025,22,Female,Mumbai,West,High School,Private Employee,High,Premium
CUST00026,50,Male,Ahmedabad,West,Bachelor,Business Owner,Medium,Regular
CUST00027,33,Female,Guwahati,East,Master,Business Owner,Low,Regular
CUST00028,45,Male,Chandigarh,North,Master,Student,Medium,Premium
CUST00029,21,Male,Surat,West,Diploma,Private Employee,Low,New
CUST00030,26,Male,Patna,East,Diploma,Business Owner,High,New
CUST00031,21,Female,Surat,West,Bachelor,Student,High,Premium
CUST00032,28,Male,Kochi,South,Bachelor,Teacher,High,New
