Survey_ID,Customer_ID,Survey_Date,Brand_Awareness,Brand_Recall,Brand_Preference,Product_Quality,Service_Quality,Value_for_Money,Customer_Satisfaction,Recommend_Brand,Purchase_Intent
SURV00001,CUST00001,2025-08-17,Yes,ValueHub,NovaMart,4,3,4,4,9,High
SURV00002,CUST00002,2025-09-05,Yes,ValueHub,UrbanCart,5,4,4,4,9,High
SURV00003,CUST00003,2025-05-11,Yes,MegaMart,UrbanCart,4,4,3,4,7,High
SURV00004,CUST00004,2025-05-24,Yes,MegaMart,UrbanCart,3,4,4,4,7,High
SURV00005,CUST00005,2025-01-01,Yes,NovaMart,UrbanCart,2,1,1,1,3,Very Low
SURV00006,CUST00006,2025-06-21,Yes,MegaMart,ValueHub,4,5,4,4,9,High
SURV00007,CUST00007,2025-12-21,Yes,ValueHub,UrbanCart,3,2,3,3,7,Medium
SURV00008,CUST00008,2025-02-07,Yes,UrbanCart,ShopEase,3,2,3,3,5,Medium
SURV00009,CUST00009,2025-05-23,No,NovaMart,UrbanCart,3,2,3,3,7,Medium
SURV00010,CUST00010,2025-12-08,Yes,MegaMart,UrbanCart,5,4,3,4,8,High
SURV00011,CUST00011,2025-09-20,Yes,NovaMart,MegaMart,2,2,4,3,6,Medium
SURV00012,CUST00012,2025-12-17,Yes,ValueHub,UrbanCart,4,2,2,3,6,Medium
SURV00013,CUST00013,2025-10-03,Yes,NovaMart,UrbanCart,2,2,2,2,4,Low
SURV00014,CUST00014,2025-03-14,Yes,UrbanCart,NovaMart,5,4,3,4,8,High
SURV00015,CUST00015,2025-10-22,No,NovaMart,NovaMart,5,5,5,5,9,Very High
SURV00016,CUST00016,2025-11-21,No,ShopEase,ValueHub,4,4,3,4,7,High
SURV00017,CUST00017,2025-04-06,Yes,ShopEase,MegaMart,3,2,1,2,5,Low
SURV00018,CUST00018,2025-11-13,Yes,UrbanCart,MegaMart,3,3,3,3,7,Medium
SURV00019,CUST00019,2025-10-04,Yes,ShopEase,MegaMart,4,5,4,4,9,High
SURV00020,CUST00020,2025-12-15,Yes,ValueHub,MegaMart,4,3,4,4,7,High
SURV00021,CUST00021,2025-10-30,No,MegaMart,ValueHub,3,2,3,3,6,Medium
SURV00022,CUST00022,2025-11-07,Yes,NovaMart,ShopEase,2,1,2,2,3,Low
SURV00023,CUST00023,2025-12-24,No,UrbanCart,ShopEase,2,2,1,2,3,Low
SURV00024,CUST00024,2025-12-29,Yes,MegaMart,UrbanCart,4,4,3,4,7,High
SURV00025,CUST00025,2025-02-20,Yes,ValueHub,MegaMart,3,1,1,2,3,Low
SURV00026,CUST00026,2025-02-12,Yes,MegaMart,UrbanCart,4,2,3,3,5,Medium
SURV00027,CUST00027,2025-12-19,Yes,NovaMart,NovaMart,3,2,2,2,4,Low
SURV00028,CUST00028,2025-08-24,No,ValueHub,ShopEase,4,2,2,3,6,Medium
SURV00029,CUST00029,2025-08-12,Yes,ValueHub,ShopEase,3,3,2,3,6,Medium
SURV00030,CUST00030,2025-12-29,Yes,ShopEase,NovaMart,3,2,2,2,4,Low
SURV00031,CUST00031,2025-10-03,No,UrbanCart,UrbanCart,3,2,1,2,3,Low
SURV00032,CUST00032,2025-09-11,Yes,MegaMart,UrbanCart,5,4,3,4,9,High
SURV00033,CUST00033,2025-12-02,Yes,MegaMart,ShopEase,3,2,1,2,4,Low
SURV00034,CUST00034,2025-05-21,Yes,MegaMart,ShopEase,4,3,2,3,5,Medium
SURV00035,CUST00035,2025-04-28,Yes,ShopEase,ShopEase,3,2,3,3,6,Medium
SURV00036,CUST00036,2025-01-04,Yes,ValueHub,ShopEase,2,1,1,1,2,Very Low
SURV00037,CUST00037,2025-02-25,Yes,NovaMart,ValueHub,4,3,2,3,7,Medium
SURV00038,CUST00038,2025-12-12,Yes,MegaMart,ValueHub,4,3,4,4,8,High
SURV00039,CUST00039,2025-07-07,Yes,NovaMart,NovaMart,4,5,3,4,7,High
SURV00040,CUST00040,2025-03-22,Yes,ValueHub,ValueHub,3,2,3,3,7,Medium
SURV00041,CUST00041,2025-04-16,No,ValueHub,NovaMart,4,4,3,4,7,High
SURV00042,CUST00042,2025-01-31,Yes,NovaMart,ShopEase,3,2,3,3,6,Medium
SURV00043,CUST00043,2025-05-23,Yes,MegaMart,NovaMart,4,4,3,4,9,High
SURV00044,CUST00044,2025-11-01,Yes,MegaMart,ShopEase,4,3,3,3,6,Medium
SURV00045,CUST00045,2025-01-15,Yes,ShopEase,NovaMart,3,3,3,3,7,Medium
SURV00046,CUST00046,2025-05-29,Yes,ValueHub,ShopEase,4,3,2,3,7,Medium
SURV00047,CUST00047,2025-07-02,Yes,ShopEase,UrbanCart,4,4,4,4,9,High
SURV00048,CUST00048,2025-10-09,No,ValueHub,ShopEase,4,4,5,4,8,High
SURV00049,CUST00049,2025-05-08,Yes,ShopEase,MegaMart,2,1,1,1,1,Very Low
SURV00050,CUST00050,2025-06-01,Yes,NovaMart,MegaMart,3,3,2,3,5,Medium
SURV00051,CUST00051,2025-02-22,Yes,ValueHub,NovaMart,2,1,2,2,5,Low
SURV00052,CUST00052,2025-09-17,No,UrbanCart,UrbanCart,3,3,4,3,7,Medium
SURV00053,CUST00053,2025-08-17,Yes,UrbanCart,MegaMart,2,1,2,2,5,Low
SURV00054,CUST00054,2025-07-05,Yes,ShopEase,UrbanCart,3,1,1,2,3,Low
SURV00055,CUST00055,2025-12-22,Yes,UrbanCart,UrbanCart,3,5,4,4,9,High
SURV00056,CUST00056,2025-06-26,Yes,ValueHub,MegaMart,3,4,3,3,5,Medium
